DATE,DTB3_CHG
1971-01-01,-1.52901639344262
1971-04-01,0.444512099921936
1971-07-01,0.745431547619048
1971-10-01,-0.789615778688525
1972-01-01,-0.77279989591465
1972-04-01,0.325540674603175
1972-07-01,0.440014880952381
1972-10-01,0.651880952380952
1973-01-01,0.843940860215054
1973-04-01,0.896876600102407
1973-07-01,1.73142857142857
1973-10-01,-0.837912698412698
1974-01-01,0.147915300546448
1974-04-01,0.514283112151965
1974-07-01,0.033603670634921
1974-10-01,-0.834608094262295
1975-01-01,-1.58336065573771
1975-04-01,-0.378125
1975-07-01,0.9315625
1975-10-01,-0.690896516393443
1976-01-01,-0.716250661025912
1976-04-01,0.237757296466974
1976-07-01,-0.007172619047619
1976-10-01,-0.491383196721311
1977-01-01,-0.033983866770752
1977-04-01,0.217142857142857
1977-07-01,0.661111111111111
1977-10-01,0.604571428571429
1978-01-01,0.27968306010929
1978-04-01,0.09415820973198
1978-07-01,0.815873015873016
1978-10-01,1.26177205308353
1979-01-01,0.826922263352723
1979-04-01,-0.013387096774194
1979-07-01,0.276597542242704
1979-10-01,2.1883918813427
1980-01-01,1.5066234796404
1980-04-01,-3.72771377368152
1980-07-01,-0.482785218253968
1980-10-01,4.46944928278689
1981-01-01,0.748032786885246
1981-04-01,0.532446005724694
1981-07-01,0.165384424603175
1981-10-01,-3.27291239754098
1982-01-01,1.00540983606557
1982-04-01,-0.358199323445225
1982-07-01,-3.11867311507936
1982-10-01,-1.40345543032787
1983-01-01,0.210699973978663
1983-04-01,0.294285714285714
1983-07-01,0.739094742063492
1983-10-01,-0.344697916666667
1984-01-01,0.375247311827957
1984-04-01,0.623371735791091
1984-07-01,0.519047619047619
1984-10-01,-1.4855737704918
1985-01-01,-0.659426229508197
1985-04-01,-0.706587301587302
1985-07-01,-0.362380952380952
1985-10-01,0.057677931387609
1986-01-01,-0.264043010752688
1986-04-01,-0.762479166666667
1986-07-01,-0.610625
1986-10-01,-0.17398185483871
1987-01-01,0.185780010576415
1987-04-01,0.11655997918293
1987-07-01,0.381798115079365
1987-10-01,-0.167525201612903
1988-01-01,-0.145967741935484
1988-04-01,0.493440860215054
1988-07-01,0.799583333333333
1988-10-01,0.714569672131147
1989-01-01,0.815737704918033
1989-04-01,-0.14343237704918
1989-07-01,-0.556140873015873
1989-10-01,-0.195532514080901
1990-01-01,0.112096774193548
1990-04-01,-0.016881720430108
1990-07-01,-0.26952380952381
1990-10-01,-0.482304147465438
1991-01-01,-0.966172043010753
1991-04-01,-0.468354166666667
1991-07-01,-0.1809375
1991-10-01,-0.830342741935484
1992-01-01,-0.650161290322581
1992-04-01,-0.219029697900666
1992-07-01,-0.59624751984127
1992-10-01,-0.013432459677419
1993-01-01,-0.110161290322581
1993-04-01,0.007619047619048
1993-07-01,0.033630952380952
1993-10-01,0.058104838709677
1994-01-01,0.197096774193548
1994-04-01,0.74258064516129
1994-07-01,0.481436491935484
1994-10-01,0.801826331967213
1995-01-01,0.453027498677948
1995-04-01,-0.141036866359447
1995-07-01,-0.226507936507936
1995-10-01,-0.106487455197133
1996-01-01,-0.331129032258065
1996-04-01,0.087963709677419
1996-07-01,0.07828125
1996-10-01,-0.122857862903226
1997-01-01,0.088118279569893
1997-04-01,-0.012760416666667
1997-07-01,0.00015625
1997-10-01,0.040453629032258
1998-01-01,-0.039188260179799
1998-04-01,-0.076200884725475
1998-07-01,-0.147876984126984
1998-10-01,-0.573508064516129
1999-01-01,0.154471179270227
1999-04-01,0.042943135245902
1999-07-01,0.20046875
1999-10-01,0.39695564516129
2000-01-01,0.481149513568868
2000-04-01,0.185714285714286
2000-07-01,0.304920634920635
2000-10-01,0.00047363031234
2001-01-01,-1.21096774193548
2001-04-01,-1.15347414234511
2001-07-01,-0.443593546708301
2001-10-01,-1.29760973030143
2002-01-01,-0.19352688172043
2002-04-01,-0.006760416666667
2002-07-01,-0.07078125
2002-10-01,-0.30054435483871
2003-01-01,-0.187826546800635
2003-04-01,-0.115547749154307
2003-07-01,-0.110925099206349
2003-10-01,-0.012636088709678
2004-01-01,0.000483870967742
2004-04-01,0.162741935483871
2004-07-01,0.409410282258065
2004-10-01,0.523331653225806
2005-01-01,0.531993654151243
2005-04-01,0.323112192622951
2005-07-01,0.49671875
2005-10-01,0.462792008196721
2006-01-01,0.572641459545214
2006-04-01,0.309383000512033
2006-07-01,0.198571428571428
2006-10-01,-0.003277009728623
2007-01-01,0.074677419354839
2007-04-01,-0.240725806451613
2007-07-01,-0.422579365079365
2007-10-01,-0.909114183307731
2008-01-01,-1.3474457958752
2008-04-01,-0.435704405737705
2008-07-01,-0.1265625
2008-10-01,-1.18899697580645
2009-01-01,-0.095293495505024
2009-04-01,-0.041485818371064
2009-07-01,-0.01047371031746
2009-10-01,-0.099359879032258
2010-01-01,0.049352194606029
2010-04-01,0.03844518442623
2010-07-01,0.0065625
2010-10-01,-0.015327620967742
2011-01-01,-0.012741935483871
2011-04-01,-0.081536098310292
2011-07-01,-0.020238095238095
2011-10-01,-0.010245901639344
2012-01-01,0.055891062929667
2012-04-01,0.017636088709678
2012-07-01,0.013306051587302
2012-10-01,-0.011915170439761
2013-01-01,-0.003338797814208
2013-04-01,-0.034770833333333
2013-07-01,-0.019375
2013-10-01,0.027973790322581
2014-01-01,-0.010817028027499
2014-04-01,-0.016328389279209
2014-07-01,-0.006609623015873
2014-10-01,-0.00382560483871
2015-01-01,0.002009518773136
2015-04-01,-0.006308913934426
2015-07-01,0.02375
2015-10-01,0.082162298387097
2016-01-01,0.163839238498149
2016-04-01,-0.030532786885246
2016-07-01,0.038125
2016-10-01,0.131588114754098
2017-01-01,0.171012691697515
2017-04-01,0.296218637992832
2017-07-01,0.141428571428571
2017-10-01,0.171062467997952
2018-01-01,0.352080909571655
2018-04-01,0.281608606557377
2018-07-01,0.195565476190476
2018-10-01,0.274629195940671
2019-01-01,0.077540983606557
2019-04-01,-0.08344002081707
2019-07-01,-0.321326884920635
